magnetometer.txt

All values are in micro-Tesla (uT). Factory calibration and temperature compensation are applied to this measurement
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-bias-x estimated-bias-y estimated-bias-z
0.091 0.070 -38.341003 -225.501 -47.634 -40.9 -242.0 -10.8
0.092 0.090 -38.341003 -225.501 -47.634 -40.9 -242.0 -10.8
0.143 0.110 -31.7 -221.5 -43.8 -40.9 -242.0 -10.8
0.143 0.130 -31.600002 -221.4 -43.6 -40.9 -242.0 -10.8
0.167 0.150 -31.500002 -221.3 -44.1 -40.9 -242.0 -10.8
0.173 0.170 -31.7 -221.5 -44.3 -40.9 -242.0 -10.8
0.196 0.190 -31.900002 -221.6 -44.6 -40.9 -242.0 -10.8
0.210 0.210 -32.100002 -221.7 -44.7 -40.9 -242.0 -10.8
0.236 0.230 -32.4 -221.8 -44.7 -40.9 -242.0 -10.8
0.250 0.250 -32.7 -221.8 -44.7 -40.9 -242.0 -10.8
0.270 0.270 -33.100002 -221.9 -45.0 -40.9 -242.0 -10.8
0.290 0.290 -33.4 -222.0 -45.2 -40.9 -242.0 -10.8
0.310 0.310 -33.9 -222.0 -45.399998 -40.9 -242.0 -10.8
0.331 0.330 -34.2 -222.1 -45.5 -40.9 -242.0 -10.8
0.350 0.350 -34.600002 -222.1 -45.6 -40.9 -242.0 -10.8
0.370 0.370 -34.9 -222.1 -45.7 -40.9 -242.0 -10.8
0.390 0.390 -35.0 -222.2 -45.7 -40.9 -242.0 -10.8
0.410 0.410 -35.100002 -222.2 -45.8 -40.9 -242.0 -10.8
0.431 0.430 -35.0 -222.2 -45.8 -40.9 -242.0 -10.8
0.450 0.450 -35.0 -222.3 -45.8 -40.9 -242.0 -10.8
0.470 0.470 -35.0 -222.4 -45.8 -40.9 -242.0 -10.8
0.490 0.490 -35.0 -222.4 -45.8 -40.9 -242.0 -10.8
0.510 0.510 -35.0 -222.4 -45.8 -40.9 -242.0 -10.8
0.537 0.530 -34.9 -222.4 -45.8 -40.9 -242.0 -10.8
0.550 0.550 -34.9 -222.4 -45.8 -40.9 -242.0 -10.8
0.570 0.570 -34.9 -222.4 -45.8 -40.9 -242.0 -10.8
0.590 0.590 -34.9 -222.4 -45.7 -40.9 -242.0 -10.8
0.610 0.610 -35.0 -222.4 -45.6 -40.9 -242.0 -10.8
0.630 0.630 -35.0 -222.4 -45.6 -40.9 -242.0 -10.8
0.650 0.650 -35.0 -222.4 -45.6 -40.9 -242.0 -10.8
0.670 0.670 -35.0 -222.4 -45.7 -40.9 -242.0 -10.8
0.690 0.690 -35.0 -222.4 -45.7 -40.9 -242.0 -10.8
0.710 0.710 -35.100002 -222.5 -45.8 -40.9 -242.0 -10.8
0.730 0.730 -35.2 -222.5 -45.8 -40.9 -242.0 -10.8
0.750 0.750 -35.300003 -222.6 -45.899998 -40.9 -242.0 -10.8
0.770 0.770 -35.300003 -222.7 -45.899998 -40.9 -242.0 -10.8
0.790 0.790 -35.4 -222.7 -45.899998 -40.9 -242.0 -10.8
0.810 0.810 -35.5 -222.7 -45.899998 -40.9 -242.0 -10.8
0.831 0.830 -35.5 -222.7 -45.899998 -40.9 -242.0 -10.8
0.851 0.850 -35.5 -222.7 -46.0 -40.9 -242.0 -10.8
0.871 0.870 -35.4 -222.7 -45.899998 -40.9 -242.0 -10.8
0.891 0.890 -35.300003 -222.7 -45.899998 -40.9 -242.0 -10.8
0.911 0.910 -35.2 -222.7 -45.899998 -40.9 -242.0 -10.8
0.932 0.930 -35.0 -222.6 -45.8 -40.9 -242.0 -10.8
0.951 0.950 -34.9 -222.6 -45.8 -40.9 -242.0 -10.8
0.971 0.970 -34.800003 -222.6 -45.7 -40.9 -242.0 -10.8
0.991 0.990 -34.7 -222.6 -45.6 -40.9 -242.0 -10.8
1.011 1.010 -34.7 -222.6 -45.6 -40.9 -242.0 -10.8
1.032 1.030 -34.7 -222.6 -45.6 -40.9 -242.0 -10.8
1.051 1.050 -34.7 -222.6 -45.5 -40.9 -242.0 -10.8
1.071 1.070 -34.7 -222.5 -45.5 -40.9 -242.0 -10.8
1.091 1.090 -34.7 -222.5 -45.399998 -40.9 -242.0 -10.8
1.111 1.110 -34.7 -222.4 -45.399998 -40.9 -242.0 -10.8
1.131 1.130 -34.800003 -222.5 -45.399998 -40.9 -242.0 -10.8
1.151 1.150 -34.800003 -222.4 -45.399998 -40.9 -242.0 -10.8
1.171 1.170 -34.800003 -222.5 -45.399998 -40.9 -242.0 -10.8
1.191 1.190 -34.800003 -222.5 -45.5 -40.9 -242.0 -10.8
1.211 1.210 -34.800003 -222.5 -45.6 -40.9 -242.0 -10.8
1.231 1.230 -34.800003 -222.5 -45.6 -40.9 -242.0 -10.8
1.251 1.250 -34.800003 -222.5 -45.6 -40.9 -242.0 -10.8
1.271 1.270 -34.800003 -222.5 -45.5 -40.9 -242.0 -10.8
1.291 1.290 -34.800003 -222.4 -45.5 -40.9 -242.0 -10.8
1.312 1.311 -34.9 -222.4 -45.5 -40.9 -242.0 -10.8
1.331 1.330 -34.9 -222.3 -45.5 -40.9 -242.0 -10.8
1.351 1.350 -35.0 -222.3 -45.399998 -40.9 -242.0 -10.8
1.371 1.370 -35.0 -222.3 -45.399998 -40.9 -242.0 -10.8
1.391 1.390 -35.0 -222.2 -45.399998 -40.9 -242.0 -10.8
1.411 1.410 -35.100002 -222.2 -45.3 -40.9 -242.0 -10.8
1.431 1.430 -35.100002 -222.1 -45.3 -40.9 -242.0 -10.8
1.451 1.450 -35.100002 -222.1 -45.3 -40.9 -242.0 -10.8
1.471 1.470 -35.2 -222.1 -45.3 -40.9 -242.0 -10.8
1.491 1.490 -35.2 -222.1 -45.3 -40.9 -242.0 -10.8
1.511 1.510 -35.300003 -222.1 -45.3 -40.9 -242.0 -10.8
1.535 1.530 -35.300003 -222.1 -45.3 -40.9 -242.0 -10.8
1.551 1.550 -35.4 -222.1 -45.3 -40.9 -242.0 -10.8
1.571 1.570 -35.5 -222.1 -45.399998 -40.9 -242.0 -10.8
1.591 1.590 -35.600002 -222.1 -45.399998 -40.9 -242.0 -10.8
1.611 1.610 -35.7 -222.1 -45.399998 -40.9 -242.0 -10.8
1.631 1.630 -35.800003 -222.1 -45.399998 -40.9 -242.0 -10.8
1.651 1.650 -35.9 -222.1 -45.399998 -40.9 -242.0 -10.8
1.671 1.670 -36.0 -222.1 -45.5 -40.9 -242.0 -10.8
1.691 1.690 -36.100002 -222.1 -45.5 -40.9 -242.0 -10.8
1.711 1.710 -36.2 -222.1 -45.6 -40.9 -242.0 -10.8
1.731 1.730 -36.300003 -222.1 -45.5 -40.9 -242.0 -10.8
1.751 1.750 -36.300003 -222.1 -45.6 -40.9 -242.0 -10.8
1.770 1.770 -36.4 -222.0 -45.6 -40.9 -242.0 -10.8
1.791 1.790 -36.5 -222.0 -45.6 -40.9 -242.0 -10.8
1.811 1.810 -36.5 -222.0 -45.6 -40.9 -242.0 -10.8
1.832 1.830 -36.600002 -222.0 -45.6 -40.9 -242.0 -10.8
1.851 1.850 -36.7 -222.0 -45.6 -40.9 -242.0 -10.8
1.871 1.870 -36.7 -221.9 -45.6 -40.9 -242.0 -10.8
1.891 1.890 -36.800003 -222.0 -45.5 -40.9 -242.0 -10.8
1.911 1.910 -36.9 -221.9 -45.6 -40.9 -242.0 -10.8
1.931 1.930 -37.0 -221.9 -45.5 -40.9 -242.0 -10.8
1.951 1.950 -37.0 -221.9 -45.5 -40.9 -242.0 -10.8
1.971 1.970 -37.100002 -222.0 -45.5 -40.9 -242.0 -10.8
1.991 1.990 -37.100002 -222.0 -45.5 -40.9 -242.0 -10.8
2.011 2.010 -37.100002 -222.0 -45.6 -40.9 -242.0 -10.8
2.031 2.030 -37.2 -222.0 -45.5 -40.9 -242.0 -10.8
2.051 2.050 -37.2 -222.0 -45.6 -40.9 -242.0 -10.8
2.071 2.070 -37.2 -222.0 -45.5 -40.9 -242.0 -10.8
2.091 2.090 -37.300003 -222.0 -45.6 -40.9 -242.0 -10.8
2.111 2.110 -37.300003 -222.0 -45.6 -40.9 -242.0 -10.8
2.131 2.130 -37.300003 -222.1 -45.6 -40.9 -242.0 -10.8
2.151 2.150 -37.300003 -222.1 -45.5 -40.9 -242.0 -10.8
2.171 2.170 -37.300003 -222.1 -45.5 -40.9 -242.0 -10.8
2.191 2.190 -37.300003 -222.1 -45.5 -40.9 -242.0 -10.8
2.211 2.210 -37.300003 -222.1 -45.5 -40.9 -242.0 -10.8
2.231 2.230 -37.2 -222.2 -45.5 -40.9 -242.0 -10.8
2.251 2.250 -37.2 -222.2 -45.5 -40.9 -242.0 -10.8
2.271 2.270 -37.2 -222.3 -45.5 -40.9 -242.0 -10.8
2.291 2.290 -37.2 -222.3 -45.399998 -40.9 -242.0 -10.8
2.311 2.310 -37.2 -222.3 -45.399998 -40.9 -242.0 -10.8
2.331 2.330 -37.2 -222.3 -45.399998 -40.9 -242.0 -10.8
2.351 2.350 -37.2 -222.4 -45.399998 -40.9 -242.0 -10.8
2.371 2.370 -37.2 -222.4 -45.399998 -40.9 -242.0 -10.8
2.391 2.390 -37.2 -222.4 -45.399998 -40.9 -242.0 -10.8
2.411 2.410 -37.2 -222.4 -45.399998 -40.9 -242.0 -10.8
2.430 2.430 -37.2 -222.4 -45.3 -40.9 -242.0 -10.8
2.450 2.450 -37.2 -222.4 -45.3 -40.9 -242.0 -10.8
2.470 2.470 -37.100002 -222.5 -45.399998 -40.9 -242.0 -10.8
2.490 2.490 -37.100002 -222.5 -45.399998 -40.9 -242.0 -10.8
2.511 2.510 -37.100002 -222.5 -45.399998 -40.9 -242.0 -10.8
2.531 2.530 -37.100002 -222.5 -45.399998 -40.9 -242.0 -10.8
2.552 2.550 -37.100002 -222.5 -45.5 -40.9 -242.0 -10.8
2.571 2.570 -37.100002 -222.5 -45.399998 -40.9 -242.0 -10.8
2.591 2.590 -37.2 -222.5 -45.399998 -40.9 -242.0 -10.8
2.611 2.610 -37.2 -222.6 -45.399998 -40.9 -242.0 -10.8
2.631 2.630 -37.2 -222.6 -45.399998 -40.9 -242.0 -10.8
2.651 2.650 -37.2 -222.6 -45.399998 -40.9 -242.0 -10.8
2.671 2.670 -37.300003 -222.6 -45.399998 -40.9 -242.0 -10.8
2.691 2.690 -37.300003 -222.6 -45.3 -40.9 -242.0 -10.8
2.711 2.710 -37.300003 -222.5 -45.3 -40.9 -242.0 -10.8
2.731 2.730 -37.4 -222.5 -45.2 -40.9 -242.0 -10.8
2.751 2.750 -37.4 -222.4 -45.2 -40.9 -242.0 -10.8
2.771 2.770 -37.4 -222.4 -45.2 -40.9 -242.0 -10.8
2.791 2.790 -37.4 -222.3 -45.3 -40.9 -242.0 -10.8
2.811 2.810 -37.4 -222.3 -45.3 -40.9 -242.0 -10.8
2.831 2.830 -37.4 -222.2 -45.3 -40.9 -242.0 -10.8
2.851 2.850 -37.5 -222.1 -45.2 -40.9 -242.0 -10.8
2.871 2.870 -37.5 -222.1 -45.3 -40.9 -242.0 -10.8
2.891 2.890 -37.5 -222.0 -45.2 -40.9 -242.0 -10.8
2.911 2.910 -37.600002 -221.9 -45.2 -40.9 -242.0 -10.8
2.931 2.930 -37.600002 -221.9 -45.2 -40.9 -242.0 -10.8
2.951 2.950 -37.600002 -221.8 -45.1 -40.9 -242.0 -10.8
2.971 2.970 -37.600002 -221.8 -45.1 -40.9 -242.0 -10.8
2.991 2.990 -37.600002 -221.8 -45.1 -40.9 -242.0 -10.8
3.011 3.010 -37.600002 -221.7 -45.1 -40.9 -242.0 -10.8
3.031 3.030 -37.7 -221.7 -45.2 -40.9 -242.0 -10.8
3.051 3.050 -37.600002 -221.7 -45.2 -40.9 -242.0 -10.8
3.071 3.070 -37.600002 -221.6 -45.1 -40.9 -242.0 -10.8
3.091 3.090 -37.600002 -221.6 -45.2 -40.9 -242.0 -10.8
3.111 3.110 -37.600002 -221.6 -45.2 -40.9 -242.0 -10.8
3.131 3.130 -37.600002 -221.5 -45.2 -40.9 -242.0 -10.8
3.151 3.150 -37.5 -221.5 -45.1 -40.9 -242.0 -10.8
3.171 3.170 -37.5 -221.5 -45.1 -40.9 -242.0 -10.8
3.191 3.190 -37.5 -221.4 -45.0 -40.9 -242.0 -10.8
3.211 3.210 -37.5 -221.4 -45.0 -40.9 -242.0 -10.8
3.231 3.230 -37.5 -221.4 -45.1 -40.9 -242.0 -10.8
3.251 3.250 -37.5 -221.4 -45.0 -40.9 -242.0 -10.8
3.271 3.270 -37.5 -221.4 -45.0 -40.9 -242.0 -10.8
3.291 3.290 -37.5 -221.3 -45.0 -40.9 -242.0 -10.8
3.311 3.310 -37.5 -221.3 -45.0 -40.9 -242.0 -10.8
3.331 3.330 -37.4 -221.3 -45.0 -40.9 -242.0 -10.8
3.351 3.350 -37.4 -221.3 -45.0 -40.9 -242.0 -10.8
3.374 3.370 -37.4 -221.3 -45.1 -40.9 -242.0 -10.8
3.391 3.390 -37.4 -221.3 -45.0 -40.9 -242.0 -10.8
3.411 3.410 -37.300003 -221.3 -44.899998 -40.9 -242.0 -10.8
3.431 3.430 -37.300003 -221.3 -44.899998 -40.9 -242.0 -10.8
3.451 3.450 -37.2 -221.3 -44.899998 -40.9 -242.0 -10.8
3.471 3.470 -37.2 -221.4 -44.8 -40.9 -242.0 -10.8
3.491 3.490 -37.100002 -221.4 -44.8 -40.9 -242.0 -10.8
3.511 3.510 -37.0 -221.4 -44.8 -40.9 -242.0 -10.8
3.531 3.530 -36.9 -221.4 -44.8 -40.9 -242.0 -10.8
3.551 3.550 -36.9 -221.4 -44.899998 -40.9 -242.0 -10.8
3.571 3.570 -36.9 -221.4 -44.899998 -40.9 -242.0 -10.8
3.591 3.590 -36.9 -221.4 -44.899998 -40.9 -242.0 -10.8
3.611 3.610 -36.800003 -221.4 -44.8 -40.9 -242.0 -10.8
3.631 3.630 -36.800003 -221.4 -44.7 -40.9 -242.0 -10.8
3.651 3.650 -36.800003 -221.3 -44.7 -40.9 -242.0 -10.8
3.673 3.670 -36.7 -221.3 -44.7 -40.9 -242.0 -10.8
3.691 3.690 -36.7 -221.3 -44.7 -40.9 -242.0 -10.8
3.711 3.710 -36.600002 -221.3 -44.6 -40.9 -242.0 -10.8
3.731 3.730 -36.600002 -221.2 -44.6 -40.9 -242.0 -10.8
3.751 3.750 -36.600002 -221.3 -44.7 -40.9 -242.0 -10.8
3.771 3.770 -36.5 -221.3 -44.7 -40.9 -242.0 -10.8
3.791 3.790 -36.4 -221.3 -44.7 -40.9 -242.0 -10.8
3.811 3.810 -36.2 -221.3 -44.7 -40.9 -242.0 -10.8
3.831 3.830 -36.0 -221.3 -44.7 -40.9 -242.0 -10.8
3.851 3.850 -35.800003 -221.3 -44.7 -40.9 -242.0 -10.8
3.871 3.870 -35.5 -221.4 -44.6 -40.9 -242.0 -10.8
3.891 3.890 -35.2 -221.4 -44.6 -40.9 -242.0 -10.8
3.911 3.910 -32.565002 -221.629 -43.822998 -40.9 -242.0 -10.8
3.931 3.930 -29.261002 -221.919 -43.058 -40.9 -242.0 -10.8
3.951 3.950 -27.082 -222.234 -42.57 -40.9 -242.0 -10.8
3.972 3.970 -23.761002 -222.995 -40.696 -40.9 -242.0 -10.8
3.991 3.990 -22.464 -223.184 -39.375 -40.9 -242.0 -10.8
4.011 4.010 -21.292002 -223.837 -38.544 -40.9 -242.0 -10.8
4.031 4.030 -19.060001 -223.57 -36.421 -40.9 -242.0 -10.8
4.052 4.050 -16.580002 -223.222 -35.835 -40.9 -242.0 -10.8
4.071 4.070 -16.175001 -223.597 -33.964 -40.9 -242.0 -10.8
4.091 4.090 -14.586002 -224.241 -33.183 -40.9 -242.0 -10.8
4.112 4.110 -13.604002 -224.049 -30.124 -40.9 -242.0 -10.8
4.131 4.130 -12.575001 -223.138 -30.529999 -40.9 -242.0 -10.8
4.153 4.150 -12.700001 -223.354 -28.354 -40.9 -242.0 -10.8
4.171 4.170 -12.085001 -223.407 -25.869999 -40.9 -242.0 -10.8
4.191 4.190 -11.188002 -223.14 -24.547 -40.9 -242.0 -10.8
4.211 4.210 -10.312002 -222.251 -22.043 -40.9 -242.0 -10.8
4.231 4.230 -10.245001 -222.117 -20.422 -40.9 -242.0 -10.8
4.254 4.250 -10.443001 -222.782 -19.723 -40.9 -242.0 -10.8
4.271 4.270 -10.912001 -222.932 -19.958 -40.9 -242.0 -10.8
4.291 4.290 -9.640001 -222.72 -15.047001 -40.9 -242.0 -10.8
4.311 4.310 -8.75 -222.564 -15.258 -40.9 -242.0 -10.8
4.331 4.330 -9.783001 -222.886 -15.209 -40.9 -242.0 -10.8
4.351 4.350 -8.963001 -223.072 -14.249001 -40.9 -242.0 -10.8
4.371 4.370 -9.196001 -222.901 -14.514 -40.9 -242.0 -10.8
4.391 4.390 -10.001001 -223.569 -13.892 -40.9 -242.0 -10.8
4.411 4.410 -8.873001 -223.078 -14.168 -40.9 -242.0 -10.8
4.431 4.430 -8.600002 -223.397 -14.161 -40.9 -242.0 -10.8
4.451 4.450 -8.839001 -223.552 -14.459 -40.9 -242.0 -10.8
4.471 4.470 -9.637001 -223.105 -13.578 -40.9 -242.0 -10.8
4.491 4.490 -9.638002 -222.653 -12.693 -40.9 -242.0 -10.8
4.511 4.510 -9.086002 -223.264 -13.2630005 -40.9 -242.0 -10.8
4.531 4.530 -9.271002 -223.228 -15.022 -40.9 -242.0 -10.8
4.553 4.550 -8.281002 -222.65399 -13.301001 -40.9 -242.0 -10.8
4.571 4.570 -9.552002 -223.265 -13.33 -40.9 -242.0 -10.8
4.591 4.590 -9.040001 -223.266 -13.335 -40.9 -242.0 -10.8
4.611 4.610 -8.974001 -222.22 -14.731 -40.9 -242.0 -10.8
4.631 4.630 -9.943001 -222.274 -13.699 -40.9 -242.0 -10.8
4.651 4.650 -9.909002 -222.826 -13.744 -40.9 -242.0 -10.8
4.671 4.670 -9.017002 -222.465 -13.534 -40.9 -242.0 -10.8
4.691 4.690 -9.001001 -222.361 -14.715 -40.9 -242.0 -10.8
4.711 4.710 -9.040001 -222.209 -13.928 -40.9 -242.0 -10.8
4.731 4.730 -9.642002 -222.764 -13.908 -40.9 -242.0 -10.8
4.751 4.750 -9.376001 -222.834 -14.13 -40.9 -242.0 -10.8
4.771 4.770 -9.200001 -222.8 -14.200001 -40.9 -242.0 -10.8
4.791 4.791 -9.200001 -222.8 -13.8 -40.9 -242.0 -10.8
4.811 4.810 -9.200001 -222.8 -13.6 -40.9 -242.0 -10.8
4.831 4.830 -9.200001 -222.8 -13.3 -40.9 -242.0 -10.8
4.854 4.850 -9.200001 -222.8 -13.1 -40.9 -242.0 -10.8
4.871 4.870 -9.200001 -222.8 -12.9 -40.9 -242.0 -10.8
4.891 4.890 -9.200001 -222.7 -12.8 -40.9 -242.0 -10.8
4.912 4.910 -9.200001 -222.7 -12.8 -40.9 -242.0 -10.8
4.931 4.930 -9.200001 -222.7 -12.7 -40.9 -242.0 -10.8
4.951 4.950 -9.200001 -222.7 -12.7 -40.9 -242.0 -10.8
4.971 4.970 -9.200001 -222.7 -12.7 -40.9 -242.0 -10.8
4.991 4.990 -9.200001 -222.6 -12.7 -40.9 -242.0 -10.8
5.011 5.010 -9.200001 -222.6 -12.7 -40.9 -242.0 -10.8
5.031 5.030 -9.300001 -222.6 -12.6 -40.9 -242.0 -10.8
5.051 5.050 -9.300001 -222.6 -12.6 -40.9 -242.0 -10.8
5.071 5.070 -9.300001 -222.5 -12.6 -40.9 -242.0 -10.8
5.091 5.090 -9.200001 -222.5 -12.6 -40.9 -242.0 -10.8
5.111 5.110 -9.200001 -222.5 -12.6 -40.9 -242.0 -10.8
5.131 5.130 -9.200001 -222.5 -12.6 -40.9 -242.0 -10.8
5.151 5.150 -9.300001 -222.5 -12.6 -40.9 -242.0 -10.8
5.171 5.170 -9.300001 -222.4 -12.6 -40.9 -242.0 -10.8
5.191 5.190 -9.300001 -222.4 -12.6 -40.9 -242.0 -10.8
5.211 5.210 -9.300001 -222.4 -12.6 -40.9 -242.0 -10.8
5.232 5.230 -9.300001 -222.4 -12.5 -40.9 -242.0 -10.8
5.251 5.250 -9.300001 -222.4 -12.5 -40.9 -242.0 -10.8
5.271 5.270 -9.300001 -222.4 -12.6 -40.9 -242.0 -10.8
5.291 5.290 -9.300001 -222.5 -12.5 -40.9 -242.0 -10.8
5.311 5.310 -9.300001 -222.5 -12.5 -40.9 -242.0 -10.8
5.331 5.330 -9.200001 -222.5 -12.5 -40.9 -242.0 -10.8
5.351 5.350 -9.200001 -222.5 -12.5 -40.9 -242.0 -10.8
5.371 5.370 -9.200001 -222.5 -12.5 -40.9 -242.0 -10.8
5.391 5.390 -9.200001 -222.6 -12.5 -40.9 -242.0 -10.8
5.411 5.410 -9.200001 -222.6 -12.5 -40.9 -242.0 -10.8
5.434 5.430 -9.200001 -222.6 -12.6 -40.9 -242.0 -10.8
5.451 5.450 -9.200001 -222.6 -12.6 -40.9 -242.0 -10.8
5.472 5.470 -9.200001 -222.6 -12.6 -40.9 -242.0 -10.8
5.491 5.490 -9.200001 -222.6 -12.6 -40.9 -242.0 -10.8
5.511 5.510 -9.200001 -222.7 -12.5 -40.9 -242.0 -10.8
5.531 5.530 -9.200001 -222.6 -12.6 -40.9 -242.0 -10.8
5.551 5.550 -9.200001 -222.7 -12.5 -40.9 -242.0 -10.8
5.570 5.570 -9.200001 -222.7 -12.5 -40.9 -242.0 -10.8
5.590 5.590 -9.200001 -222.7 -12.5 -40.9 -242.0 -10.8
5.610 5.610 -9.200001 -222.7 -12.5 -40.9 -242.0 -10.8
5.631 5.630 -9.200001 -222.7 -12.5 -40.9 -242.0 -10.8
5.651 5.650 -9.300001 -222.7 -12.5 -40.9 -242.0 -10.8
5.672 5.670 -9.300001 -222.7 -12.5 -40.9 -242.0 -10.8
5.691 5.690 -9.300001 -222.7 -12.6 -40.9 -242.0 -10.8
5.711 5.710 -9.300001 -222.7 -12.6 -40.9 -242.0 -10.8
5.733 5.730 -9.300001 -222.7 -12.6 -40.9 -242.0 -10.8
5.752 5.750 -9.300001 -222.7 -12.6 -40.9 -242.0 -10.8
5.771 5.770 -9.400002 -222.7 -12.6 -40.9 -242.0 -10.8
5.791 5.790 -9.400002 -222.7 -12.7 -40.9 -242.0 -10.8
5.811 5.810 -9.400002 -222.7 -12.6 -40.9 -242.0 -10.8
5.831 5.830 -9.300001 -222.7 -12.6 -40.9 -242.0 -10.8
5.851 5.850 -9.300001 -222.8 -12.7 -40.9 -242.0 -10.8
5.874 5.871 -9.300001 -222.8 -12.6 -40.9 -242.0 -10.8
5.895 5.890 -9.300001 -222.7 -12.6 -40.9 -242.0 -10.8
5.911 5.910 -9.300001 -222.7 -12.6 -40.9 -242.0 -10.8
5.930 5.930 -9.300001 -222.7 -12.6 -40.9 -242.0 -10.8
5.950 5.950 -9.300001 -222.7 -12.6 -40.9 -242.0 -10.8
5.971 5.970 -9.300001 -222.7 -12.7 -40.9 -242.0 -10.8
5.991 5.990 -9.400002 -222.7 -12.7 -40.9 -242.0 -10.8
6.011 6.010 -9.400002 -222.7 -12.7 -40.9 -242.0 -10.8
6.032 6.030 -9.400002 -222.7 -12.7 -40.9 -242.0 -10.8
6.051 6.050 -9.400002 -222.7 -12.7 -40.9 -242.0 -10.8
6.071 6.070 -9.400002 -222.7 -12.7 -40.9 -242.0 -10.8
6.091 6.091 -9.400002 -222.7 -12.7 -40.9 -242.0 -10.8
6.111 6.110 -9.400002 -222.7 -12.8 -40.9 -242.0 -10.8
6.131 6.130 -9.400002 -222.7 -12.8 -40.9 -242.0 -10.8
6.151 6.150 -9.400002 -222.6 -12.8 -40.9 -242.0 -10.8
6.171 6.170 -9.400002 -222.6 -12.8 -40.9 -242.0 -10.8
6.191 6.190 -9.400002 -222.6 -12.9 -40.9 -242.0 -10.8
6.211 6.210 -9.400002 -222.6 -12.9 -40.9 -242.0 -10.8
6.231 6.230 -9.400002 -222.6 -12.8 -40.9 -242.0 -10.8
6.251 6.250 -9.400002 -222.6 -12.9 -40.9 -242.0 -10.8
6.271 6.270 -9.400002 -222.6 -12.8 -40.9 -242.0 -10.8
6.291 6.290 -9.400002 -222.6 -12.8 -40.9 -242.0 -10.8
6.311 6.310 -9.400002 -222.6 -12.8 -40.9 -242.0 -10.8
6.331 6.330 -9.400002 -222.6 -12.8 -40.9 -242.0 -10.8
6.351 6.350 -9.300001 -222.6 -12.8 -40.9 -242.0 -10.8
6.371 6.370 -9.300001 -222.7 -12.8 -40.9 -242.0 -10.8
6.391 6.390 -9.300001 -222.7 -12.8 -40.9 -242.0 -10.8
6.411 6.410 -9.300001 -222.7 -12.8 -40.9 -242.0 -10.8
6.431 6.430 -9.300001 -222.7 -12.8 -40.9 -242.0 -10.8
6.451 6.450 -9.300001 -222.7 -12.7 -40.9 -242.0 -10.8
6.471 6.470 -9.300001 -222.7 -12.8 -40.9 -242.0 -10.8
6.491 6.490 -9.300001 -222.7 -12.8 -40.9 -242.0 -10.8
6.511 6.510 -9.400002 -222.7 -12.8 -40.9 -242.0 -10.8
6.531 6.530 -9.400002 -222.7 -12.8 -40.9 -242.0 -10.8
6.552 6.550 -9.400002 -222.7 -12.8 -40.9 -242.0 -10.8
6.571 6.570 -9.400002 -222.7 -12.8 -40.9 -242.0 -10.8
6.591 6.590 -9.300001 -222.7 -12.9 -40.9 -242.0 -10.8
6.611 6.610 -9.300001 -222.6 -12.8 -40.9 -242.0 -10.8
6.631 6.630 -9.300001 -222.6 -12.8 -40.9 -242.0 -10.8
6.651 6.650 -9.300001 -222.6 -12.7 -40.9 -242.0 -10.8
6.671 6.670 -9.300001 -222.6 -12.7 -40.9 -242.0 -10.8
6.691 6.690 -9.300001 -222.6 -12.7 -40.9 -242.0 -10.8
6.711 6.710 -9.300001 -222.6 -12.6 -40.9 -242.0 -10.8
6.731 6.730 -9.300001 -222.6 -12.6 -40.9 -242.0 -10.8
6.751 6.750 -9.300001 -222.6 -12.6 -40.9 -242.0 -10.8
6.771 6.770 -9.400002 -222.6 -12.6 -40.9 -242.0 -10.8
6.791 6.790 -9.300001 -222.6 -12.6 -40.9 -242.0 -10.8
6.811 6.810 -9.400002 -222.6 -12.6 -40.9 -242.0 -10.8
6.831 6.830 -9.400002 -222.6 -12.6 -40.9 -242.0 -10.8
6.852 6.850 -9.500002 -222.6 -12.6 -40.9 -242.0 -10.8
6.871 6.870 -9.500002 -222.5 -12.7 -40.9 -242.0 -10.8
6.891 6.890 -9.500002 -222.5 -12.7 -40.9 -242.0 -10.8
6.911 6.910 -9.500002 -222.5 -12.7 -40.9 -242.0 -10.8
6.931 6.930 -9.500002 -222.5 -12.7 -40.9 -242.0 -10.8
6.951 6.950 -9.500002 -222.5 -12.7 -40.9 -242.0 -10.8
6.971 6.970 -9.500002 -222.5 -12.7 -40.9 -242.0 -10.8
6.991 6.990 -9.500002 -222.5 -12.7 -40.9 -242.0 -10.8
7.012 7.010 -9.500002 -222.5 -12.8 -40.9 -242.0 -10.8
7.031 7.030 -9.600002 -222.5 -12.8 -40.9 -242.0 -10.8
7.051 7.050 -9.500002 -222.5 -12.9 -40.9 -242.0 -10.8
7.071 7.070 -9.500002 -222.6 -12.8 -40.9 -242.0 -10.8
7.091 7.090 -9.500002 -222.6 -12.8 -40.9 -242.0 -10.8
7.111 7.110 -9.500002 -222.7 -12.8 -40.9 -242.0 -10.8
7.131 7.130 -9.500002 -222.8 -12.7 -40.9 -242.0 -10.8
7.151 7.150 -9.400002 -222.9 -12.7 -40.9 -242.0 -10.8
7.171 7.170 -9.400002 -223.0 -12.6 -40.9 -242.0 -10.8
7.191 7.190 -9.300001 -223.2 -12.400001 -40.9 -242.0 -10.8
